sample_name,Dataset,project_name,vessel,ESP_sample_match,year,season,collection_date_Flyer,sampling_platform,sampling_device,filtration_device,control_status,station,bottom_depth_m,bottom_depth_group_m,CTD_cast,depth_m,temp_C,salinity_PSU,O2_mL_L,O2_group,density_kG_m3,chlA_ug_L,fluor_volt,latitude,lat_group,longitude,PO4,SiO4,NO3,NO2,NH4,volume_filtered_ml,filter_type,filter_pore_size_um,target_subfragment,F_primer,R_primer,primers_FR,seq_platform,seq_model,seq_chemistry,run_center,run_date,Description,cruise
Lasker18Sc151_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc151_19_D0246,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,114,520,500-2000,151,10,11.2571001,33.8279991,5.366000175,,25.81669998,9.43749714,,36.79138889,36.5-37,-121.9022222,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc151_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc151_3_D0240,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,114,520,500-2000,151,100,8.60289955,34.0105019,1.986999989,,26.40710068,0,,36.79138889,36.5-37,-121.9022222,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc151_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc151_5_D0241,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,114,520,500-2000,151,100,8.60289955,34.0105019,1.986999989,,26.40710068,0,,36.79138889,36.5-37,-121.9022222,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc150_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc150_17_D0234,2018,Spring,20180609,Lasker,CTD,peristaltic,Exp,119,80,,150,10,11.3247004,33.8353996,5.208000183,,25.81019974,6.31287432,,36.85194444,36.5-37,-121.9911111,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc150_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc150_19_D0235,2018,Spring,20180609,Lasker,CTD,peristaltic,Exp,119,80,,150,10,11.3247004,33.8353996,5.208000183,,25.81019974,6.31287432,,36.85194444,36.5-37,-121.9911111,1.406,19.564,18.177,0.209,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc150_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc150_3_D0229,2018,Spring,20180609,Lasker,CTD,peristaltic,Exp,119,80,,150,50,9.11480045,33.9203987,2.519000053,,26.2553997,0.01675687,,36.85194444,36.5-37,-121.9911111,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc150_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc150_5_D0230,2018,Spring,20180609,Lasker,CTD,peristaltic,Exp,119,80,,150,50,9.11480045,33.9203987,2.519000053,,26.2553997,0.01675687,,36.85194444,36.5-37,-121.9911111,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
CN18Fc51_5_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC24,2018,Fall,20180911,Flyer,CTD,peristaltic,Exp,ESP,130,100-300,51,35,12.0849,33.6492,3.87004,3-3.9,25.5248,0.8294,0.0532,36.9175,36.5-37,-122.2742,1.07,12.47,15.11,1.12,0.026,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC24,Merged2018,eCruises_2018,Tethys,CN18Fc51_5_eDNA,2018,Fall,20180911,Tethys,AUV,ESP,Exp,,130,100-300,51,35,12.0849,33.6492,3.87004,3-3.9,25.5248,0.8294,0.0532,36.9175,36.5-37,-122.2742,1.07,12.47,15.11,1.12,0.026,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC29,Merged2018,eCruises_2018,Tethys,CN18Fc47_6_eDNA,2018,Fall,20180910,Tethys,AUV,ESP,Exp,,140,100-300,47,22,11.9996,33.6597,3.73847,3-3.9,25.5489,0.6294,0.0452,36.9267,36.5-37,-122.2925,1.02,7.1,14.05,0.14,0.116,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
