#FeatureID	taxonomy	confidence
ASV_274	d__Eukaryota	0.999774188
ASV_275	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae	0.783660005
ASV_276	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.971696031
ASV_277	Unassigned	0.310690051
ASV_278	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.702698981
ASV_279	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmata; f__Thermoplasmata; g__Marine_Group_III; s__metagenome	0.911001983
ASV_280	d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinophytae; f__Prasinophytae; g__Prasinophytae; s__Pycnococcus_provasolii	0.934298937
ASV_281	Unassigned	0.483974314
ASV_282	d__Eukaryota; p__MAST-3; c__MAST-3D; o__MAST-3D; f__MAST-3D; g__MAST-3D; s__uncultured_eukaryote	0.99522985
ASV_283	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales	0.778912293
ASV_284	d__Eukaryota	0.999553806
ASV_285	d__Eukaryota	0.978073134
ASV_286	d__Eukaryota	0.999930626
ASV_287	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__Marine_group	0.905537953
ASV_288	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.932970268
ASV_289	d__Eukaryota; p__Diatomea	0.998623596
ASV_290	d__Bacteria	0.951157558
ASV_291	d__Eukaryota	0.926858097
ASV_292	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.950655339
ASV_293	Unassigned	0.637165281
ASV_294	d__Eukaryota	0.988294554
ASV_295	d__Eukaryota	0.925801783
ASV_296	d__Eukaryota	0.999979808
ASV_297	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_Planctomycetia	0.741287321
ASV_298	d__Eukaryota	0.773396505
ASV_299	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote	0.715056801
ASV_300	d__Eukaryota	0.848771655
ASV_301	Unassigned	0.392680601
ASV_302	d__Bacteria	0.770265066
ASV_303	d__Bacteria	0.785438893
ASV_304	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.801844924
ASV_305	d__Eukaryota	0.999880642
