"","SampleID","PC1","PC2","PC3","seqID","year","Dataset","project"
"120","Lasker18Sc134_5",-0.0439160455376577,-0.0163137840989588,-0.177196297079793,"Lasker18Sc134_5_D0159_VV",2018,"Merged2018","Lasker18S"
"121","Lasker18Sc135_1",-0.0261192134174234,0.0762992400350865,-0.122477417249725,NA,NA,"Merged2018","Lasker18S"
"122","Lasker18Sc135_17",-0.117395069946827,-0.0768824667520088,0.104432333440006,"Lasker18Sc135_17_D0173_VV",2018,"Merged2018","Lasker18S"
"123","Lasker18Sc135_19",-0.124894798251336,-0.0686018541870173,0.108390793593469,"Lasker18Sc135_19_D0174_VV",2018,"Merged2018","Lasker18S"
"124","Lasker18Sc138_1",-0.0338094541982623,0.0886510722206668,-0.0553116371197098,NA,NA,"Merged2018","Lasker18S"
"125","Lasker18Sc138_15",-0.0939430676226584,-0.0690775906145949,0.00693744705777949,NA,NA,"Merged2018","Lasker18S"
"126","Lasker18Sc140_1",-0.0800259996400788,-0.0244005468083023,-0.060479760384026,NA,NA,"Merged2018","Lasker18S"
"127","Lasker18Sc140_15",-0.107033489238212,-0.0918198110258801,-0.0144710493567041,NA,NA,"Merged2018","Lasker18S"
"128","Lasker18Sc142_1",-0.0502967072032146,0.124701281208939,0.000228165290111007,NA,NA,"Merged2018","Lasker18S"
"129","Lasker18Sc142_15",-0.107583721236907,-0.0754434843161465,0.0546370490605491,NA,NA,"Merged2018","Lasker18S"
"130","Lasker18Sc143_1",-0.0563965542540809,0.129597454590798,0.0725108723445179,NA,NA,"Merged2018","Lasker18S"
"131","Lasker18Sc143_15",-0.0817515242146004,-0.0791551722826327,-0.0358492100963498,NA,NA,"Merged2018","Lasker18S"
"132","Lasker18Sc145_17",-0.0981720249976084,-0.0860565790377855,0.107874608696253,"Lasker18Sc145_17_D0224_VV",2018,"Merged2018","Lasker18S"
"133","Lasker18Sc145_19",-0.110499638574117,-0.0891260504260752,0.099430508503397,"Lasker18Sc145_19_D0225_VV",2018,"Merged2018","Lasker18S"
"134","Lasker18Sc145_3",-0.0323468134483538,0.0920625117961534,-0.0737649702457274,"Lasker18Sc145_3_D0219_VV",2018,"Merged2018","Lasker18S"
"135","Lasker18Sc145_5",-0.0287659799901064,0.0902364576602654,-0.0433577160094911,"Lasker18Sc145_5_D0220_VV",2018,"Merged2018","Lasker18S"
"136","Lasker18Sc150_17",-0.0915342807045235,-0.0906024116706504,-0.0667704369797996,"Lasker18Sc150_17_D0234_VV",2018,"Merged2018","Lasker18S"
"137","Lasker18Sc150_19",-0.106013078109778,-0.0905296013817686,-0.0315155121102793,"Lasker18Sc150_19_D0235_VV",2018,"Merged2018","Lasker18S"
"138","Lasker18Sc150_3",-0.0314661868844607,0.0639540189180279,-0.106702101749775,"Lasker18Sc150_3_D0229_VV",2018,"Merged2018","Lasker18S"
"139","Lasker18Sc150_5",-0.0265774350532277,0.0721624760388475,-0.149533020110465,"Lasker18Sc150_5_D0230_VV",2018,"Merged2018","Lasker18S"
"140","Lasker18Sc151_17",-0.105589354439284,-0.0984459878550338,0.0105055061620247,"Lasker18Sc151_17_D0245_VV",2018,"Merged2018","Lasker18S"
"141","Lasker18Sc151_19",-0.105322300927396,-0.112716310354224,0.0100727817047958,"Lasker18Sc151_19_D0246_VV",2018,"Merged2018","Lasker18S"
"142","Lasker18Sc151_3",-0.0417759970689117,0.109626696574782,-0.0583302375469209,"Lasker18Sc151_3_D0240_VV",2018,"Merged2018","Lasker18S"
"143","Lasker18Sc151_5",-0.0456134222150485,0.106551264080861,-0.0542944275505896,"Lasker18Sc151_5_D0241_VV",2018,"Merged2018","Lasker18S"
"144","Lasker18Sc153_17",-0.104700525583085,-0.102350495428318,0.0301078879838733,"Lasker18Sc153_17_D0255_VV",2018,"Merged2018","Lasker18S"
"145","Lasker18Sc153_19",-0.101463217055361,-0.0878233914751127,0.0141526178805675,"Lasker18Sc153_19_D0256_VV",2018,"Merged2018","Lasker18S"
"146","Lasker18Sc153_3",-0.0370729715969188,0.0491884287781198,-0.113913269565354,"Lasker18Sc153_3_D0250_VV",2018,"Merged2018","Lasker18S"
"147","Lasker18Sc153_5",-0.0298859493484963,0.0555611517773472,-0.153571386870357,"Lasker18Sc153_5_D0251_VV",2018,"Merged2018","Lasker18S"
"148","Lasker18Sc154_17",-0.0864045671613915,-0.064737388800702,-0.0669942006299082,"Lasker18Sc154_17_D0265_VV",2018,"Merged2018","Lasker18S"
"149","Lasker18Sc154_19",-0.09607560490058,-0.0739165344261438,-0.0964489324410794,"Lasker18Sc154_19_D0266_VV",2018,"Merged2018","Lasker18S"
"150","Lasker18Sc154_3",-0.0446427755158216,0.109361620694648,-0.0487047625733733,"Lasker18Sc154_3_D0260_VV",2018,"Merged2018","Lasker18S"
"151","Lasker18Sc154_5",-0.0531175444898749,0.105745038423081,-0.0169175954586633,"Lasker18Sc154_5_D0261_VV",2018,"Merged2018","Lasker18S"
"152","Lasker18Sc158_17",-0.10037312323241,-0.0982523644772658,-0.0182395871851232,"Lasker18Sc158_17_D0275_VV",2018,"Merged2018","Lasker18S"
"153","Lasker18Sc158_19",-0.108014434209808,-0.101488306280687,-0.0109337674087923,"Lasker18Sc158_19_D0276_VV",2018,"Merged2018","Lasker18S"
"154","Lasker18Sc158_3",-0.0212715649486991,0.0389551768564486,-0.117274115143794,"Lasker18Sc158_3_D0270_VV",2018,"Merged2018","Lasker18S"
"155","Lasker18Sc158_5",-0.031171514728015,0.0380372371932728,-0.15839867800373,"Lasker18Sc158_5_D0271_VV",2018,"Merged2018","Lasker18S"
