ASV ID	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
ASV_846	19	3	6	4	11	5	10	19	10	23	14	11	8	11	8	12	11	15	19	21	22	11	17	17	14	10	18	9	22	37	19	15	17	6	13	4	27	30	14	3	5	3	0	1	1	0	7	0	9	0	2	9	3	6	9	10	4	8	0	10	1	9	0
ASV_847	3	0	0	0	0	0	1	0	4	0	3	0	0	2	3	0	1	1	3	2	1	5	0	2	3	3	1	2	3	0	0	2	0	0	0	0	0	0	2	0	0	0	3	14	0	9	0	13	0	36	0	0	0	1	0	0	0	0	27	0	1	2	3
ASV_849	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0
ASV_850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	29	0	16	0	0	0	0	0	1	0	0	35	0	0	1	7
ASV_851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0
ASV_852	12	1	4	11	20	17	12	32	11	33	25	25	28	9	12	27	47	14	16	23	22	52	19	74	38	39	23	32	41	63	18	30	27	24	20	24	39	41	28	5	5	10	16	0	1	0	6	0	1	0	5	8	4	10	6	11	1	10	0	5	0	7	0
ASV_853	5	0	1	2	6	4	6	7	2	12	12	9	10	5	4	2	12	16	10	14	16	19	13	13	8	5	15	1	27	19	4	5	2	11	7	7	9	15	7	6	1	2	6	2	0	0	0	2	11	3	5	8	4	8	8	9	3	11	4	3	0	1	0
ASV_854	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	0	1	0	2	1	0	1	1	4	2	3	0	2	0	0	1	0	4	1	0	2	1	1	3	2	1	5	10	8	4	6	7	3	5	0	2	2
ASV_855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	6	0	1	2	0	10	2	0	14	5	0	6	0	7	0
ASV_856	19	1	1	2	0	5	0	2	5	4	9	3	3	9	3	7	6	7	8	2	6	4	5	8	13	9	0	10	13	9	2	6	5	4	6	2	10	6	2	2	0	5	27	9	0	4	0	3	6	5	3	3	2	3	3	1	9	3	16	6	2	1	2
ASV_857	0	0	0	0	0	0	1	0	0	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	3	1	0	1	3	5	0	3	2	0	4	3	0	0	0	3	0	0	0	0	8	0	0	0	0
ASV_858	1	0	0	0	3	1	2	0	2	2	1	0	2	2	0	2	2	1	0	1	1	8	0	10	2	5	0	1	3	5	0	3	7	4	2	7	3	3	0	0	0	3	0	5	0	1	1	4	2	4	1	1	0	2	2	0	7	4	8	3	0	0	3
ASV_859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0
ASV_860	0	0	0	2	0	5	10	8	2	16	4	2	7	4	8	2	9	5	3	8	16	13	0	5	8	4	2	2	7	5	1	11	4	0	4	2	7	5	7	1	0	2	2	0	3	0	6	0	1	0	6	11	10	6	3	4	10	3	0	11	0	3	0
