"","SampleID","PC1","PC2","PC3","FilterID","year","Dataset","project"
"124","Lasker18Sc134_17_D0163_UU",0.0553468512005953,0.128006942487659,0.0379804496052253,"Lasker18Sc134_17_D0163",2018,"Merged2018","Lasker18S"
"125","Lasker18Sc134_19_D0164_UU",0.0744654576867184,0.126848406000332,0.0230320978788511,"Lasker18Sc134_19_D0164",2018,"Merged2018","Lasker18S"
"126","Lasker18Sc135_17_D0173_UU",0.081209342335108,0.124745100795686,-0.0417960616538122,"Lasker18Sc135_17_D0173",2018,"Merged2018","Lasker18S"
"127","Lasker18Sc135_19_D0174_UU",0.0759909047186695,0.11622189863426,-0.0527623153794586,"Lasker18Sc135_19_D0174",2018,"Merged2018","Lasker18S"
"128","Lasker18Sc145_3_D0219_UU",-0.118557227716377,-0.0434965179696444,0.1505420125302,"Lasker18Sc145_3_D0219",2018,"Merged2018","Lasker18S"
"129","Lasker18Sc145_5_D0220_UU",-0.0893231148048674,-0.0196426938646599,0.0394963696307732,"Lasker18Sc145_5_D0220",2018,"Merged2018","Lasker18S"
"130","Lasker18Sc145_17_D0224_UU",0.0798239795482354,0.109602184362376,-0.109994920793793,"Lasker18Sc145_17_D0224",2018,"Merged2018","Lasker18S"
"131","Lasker18Sc145_19_D0225_UU",0.0552667532404063,0.129851024651696,-0.105364986140706,"Lasker18Sc145_19_D0225",2018,"Merged2018","Lasker18S"
"132","Lasker18Sc150_3_D0229_UU",-0.0835462246022431,-0.0203871420674658,0.191059715021447,"Lasker18Sc150_3_D0229",2018,"Merged2018","Lasker18S"
"133","Lasker18Sc150_5_D0230_UU",-0.0859957052559497,-0.0140973940791162,0.173988584399738,"Lasker18Sc150_5_D0230",2018,"Merged2018","Lasker18S"
"134","Lasker18Sc150_17_D0234_UU",0.0577114896844681,0.128526690691302,0.0776329675184865,"Lasker18Sc150_17_D0234",2018,"Merged2018","Lasker18S"
"135","Lasker18Sc150_19_D0235_UU",0.0565034719869634,0.130745346775624,0.0190456055901395,"Lasker18Sc150_19_D0235",2018,"Merged2018","Lasker18S"
"136","Lasker18Sc151_3_D0240_UU",-0.138163431740848,-0.0468625308361396,0.0764705679044139,"Lasker18Sc151_3_D0240",2018,"Merged2018","Lasker18S"
"137","Lasker18Sc151_5_D0241_UU",-0.118762953577393,-0.0146771162057574,0.0181865797685529,"Lasker18Sc151_5_D0241",2018,"Merged2018","Lasker18S"
"138","Lasker18Sc151_17_D0245_UU",0.059062489836291,0.137156860130369,-0.0287112649845093,"Lasker18Sc151_17_D0245",2018,"Merged2018","Lasker18S"
"139","Lasker18Sc151_19_D0246_UU",0.073598545630503,0.137497827068111,0.0241492872193083,"Lasker18Sc151_19_D0246",2018,"Merged2018","Lasker18S"
"140","Lasker18Sc153_3_D0250_UU",-0.0805059965093714,-0.00814318770841858,0.182431079103432,"Lasker18Sc153_3_D0250",2018,"Merged2018","Lasker18S"
"141","Lasker18Sc153_5_D0251_UU",-0.0822194693040566,-0.0128081139420698,0.206021168533322,"Lasker18Sc153_5_D0251",2018,"Merged2018","Lasker18S"
"142","Lasker18Sc153_17_D0255_UU",0.073174501972839,0.123706930994574,-0.000140951374798352,"Lasker18Sc153_17_D0255",2018,"Merged2018","Lasker18S"
"143","Lasker18Sc153_19_D0256_UU",0.0707415308741487,0.108785233236921,-0.0200027830312495,"Lasker18Sc153_19_D0256",2018,"Merged2018","Lasker18S"
"144","Lasker18Sc154_3_D0260_UU",-0.154311666696019,-0.0441677865027768,0.104321376332957,"Lasker18Sc154_3_D0260",2018,"Merged2018","Lasker18S"
"145","Lasker18Sc154_5_D0261_UU",-0.151172256132702,-0.0427969085454773,0.119402335200784,"Lasker18Sc154_5_D0261",2018,"Merged2018","Lasker18S"
"146","Lasker18Sc154_17_D0265_UU",0.0528384585914641,0.133677354990659,0.115477771722334,"Lasker18Sc154_17_D0265",2018,"Merged2018","Lasker18S"
"147","Lasker18Sc154_19_D0266_UU",0.0409829969716298,0.1517397341332,0.140919986443346,"Lasker18Sc154_19_D0266",2018,"Merged2018","Lasker18S"
"148","Lasker18Sc158_3_D0270_UU",-0.0784674904659723,-0.00703165755823491,0.174695103324589,"Lasker18Sc158_3_D0270",2018,"Merged2018","Lasker18S"
"149","Lasker18Sc158_5_D0271_UU",-0.0589615046892319,0.0243447933201934,0.235112147603143,"Lasker18Sc158_5_D0271",2018,"Merged2018","Lasker18S"
"150","Lasker18Sc158_17_D0275_UU",0.089937487465558,0.145003004164563,0.114292159221236,"Lasker18Sc158_17_D0275",2018,"Merged2018","Lasker18S"
"151","Lasker18Sc158_19_D0276_UU",0.0692318394789053,0.145092340456993,0.0526103830937506,"Lasker18Sc158_19_D0276",2018,"Merged2018","Lasker18S"
