"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1191","ASV_1191",-0.0370618903797753,0.00823593946122676,0.00759593924307317,"ASV_1191","Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II",NA
"1192","ASV_1192",0.000449308742452167,0.000610667154071853,-0.00237957403111083,"ASV_1192","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group",NA
"1193","ASV_1193",0.00056585394099663,0.00132287758323331,-0.00234682289982268,"ASV_1193","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,NA
"1194","ASV_1194",0.000573721848765785,0.00129986072367131,-0.00214261630874842,"ASV_1194","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",NA
"1195","ASV_1195",0.00118545269215001,-0.00294777871368626,0.000639974539711403,"ASV_1195","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",NA
"1196","ASV_1196",0.0164969556930628,0.0157845792520176,0.0237958023817232,"ASV_1196","Bacteria","Verrucomicrobiota",NA,NA,NA,NA,NA
"1197","ASV_1197",0.00102254824583152,-0.00121838329655717,-4.30321165689667e-05,"ASV_1197","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,NA
"1198","ASV_1198",0.00275228001706636,-0.00763383575865473,0.00585177535015756,"ASV_1198","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"1199","ASV_1199",-0.00463082917173077,-0.00512574233582475,0.00300750536675941,"ASV_1199","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira","uncultured_Alphaproteobacteria"
"1200","ASV_1200",-0.0449128502251574,0.0147459588102779,0.00763769014191404,"ASV_1200","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"1201","ASV_1201",0.000126199112563013,-0.00290034044710343,-0.000543383038923444,"ASV_1201","Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmata","Thermoplasmata","Marine_Group_III",NA
"1202","ASV_1202",-0.0344162973554786,0.0128326435763259,0.00493962952956068,"ASV_1202","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Arctic97B-4_marine_group","Arctic97B-4_marine_group","Arctic97B-4_marine_group","metagenome"
"1203","ASV_1203",-9.92676339478136e-05,-0.00421866304254998,-0.000503678867434892,"ASV_1203","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae",NA
"1204","ASV_1204",0.0122418356736898,-0.00247711920944009,0.0291303840363014,"ASV_1204","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
