,CN18FESPkoa_SC58_FF,CN18FESPkoa_SC57_FF,CN18FESPkoa_SC56_FF,CN18FESPkoa_SC55_FF,CN18FESPkoa_SC53_FF,CN18FESPkoa_SC52_FF,CN18FESPkoa_SC49_FF,CN18FESPkoa_SC47_FF,CN18FESPkoa_SC46_FF,CN18FESPkoa_SC44_FF,CN18FESPkoa_SC43_FF,CN18FESPkoa_SC41_FF,CN18FESPkoa_SC40_FF,CN18FESPkoa_SC37_FF,CN18FESPkoa_SC34_FF,CN18FESPkoa_SC32_FF,CN18FESPkoa_SC31_FF,CN18FESPkoa_SC30_FF,CN18FESPkoa_SC29_FF,CN18FESPkoa_SC26_FF,CN18FESPkoa_SC24_FF,CN18Fc12_8_eDNA_GG,CN18Fc19_5_eDNA_GG,CN18Fc21_6_eDNA_GG,CN18Fc22_6_eDNA_GG,CN18Fc24_6_eDNA_GG,CN18Fc25_5_eDNA_GG,CN18Fc27_4_eDNA_GG,CN18Fc29_6_eDNA_GG,CN18Fc30_4_eDNA_GG,CN18Fc32_4_eDNA_GG,CN18Fc33_5_eDNA_GG,CN18Fc36_6_eDNA_GG,CN18Fc38_5_eDNA_GG,CN18Fc40_6_eDNA_GG,CN18Fc41_6_eDNA_GG,CN18Fc43_5_eDNA_GG,CN18Fc44_8_eDNA_GG,CN18Fc46_8_eDNA_GG,CN18Fc47_6_eDNA_GG,CN18Fc49_6_eDNA_GG,CN18Fc51_5_eDNA_GG,CN18Sc09_2_eDNA_Y,CN18Sc10_2_eDNA_Y,CN18Sc14_2_eDNA_Y,CN18Sc14_8_eDNA_Y,CN18Sc15_2_eDNA_Y,CN18Sc15_8_eDNA_Y,CN18Sc18_2_eDNA_Y,CN18Sc18_8_eDNA_Y,CN18Sc27_2_eDNA_Y,CN18Sc27_8_eDNA_Y,CN18SESPkoa_SC49_Y,CN18SESPkoa_SC47_Y,CN18SESPkoa_SC45_Y,CN18SESPkoa_SC44_Y,CN18SESPkoa_SC42_Y,CN18SESPkoa_SC41_Y,CN18SESPkoa_SC40_Y,CN18SESPkoa_SC39_Y,CN18SESPkoa_SC37_Y,CN18SESPkoa_SC36_Y
ASV_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,15,0,3,0,8,1,1,0,6,0,3,0,17,0,11
ASV_49,239,333,458,216,226,93,86,161,79,134,152,164,157,114,97,168,172,223,111,292,201,100,18,21,27,23,52,39,17,12,118,61,51,39,28,106,88,28,44,24,12,66,243,81,20,425,29,2110,12,962,38,3549,366,700,13,368,129,280,124,1082,148,1291
ASV_50,785,381,403,332,368,322,228,330,356,489,339,235,279,357,691,370,283,471,473,503,402,135,205,248,237,169,250,256,579,93,376,346,326,82,283,162,232,454,238,48,265,822,455,536,265,399,352,701,283,466,51,340,295,493,308,664,552,894,88,304,270,997
ASV_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,0,0,0,0,0,0,36,121,0,2,0,0,0,0
ASV_52,1085,1800,1879,582,861,410,589,984,908,1240,671,744,567,866,1577,801,1070,1188,872,721,549,275,479,348,563,245,439,1100,566,112,745,1711,568,535,1129,782,772,747,684,190,412,565,20,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0
ASV_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_54,60,56,39,41,115,8,22,35,27,33,73,49,9,54,47,17,39,63,61,24,74,3,16,20,7,29,76,35,19,1,5,67,16,5,60,25,40,33,61,8,34,65,2,4,5,95,10,28,17,121,0,48,4,1,3,102,28,165,0,78,0,265
ASV_55,1454,1959,2619,959,1123,485,666,991,800,1124,837,957,832,1317,2944,2596,1346,2387,1657,1430,388,123,510,223,746,459,133,483,604,74,193,600,477,404,467,851,596,1325,794,278,350,559,0,0,3,5,1,47,11,232,0,203,2,0,8,58,0,32,0,87,0,331
ASV_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ASV_57,410,420,524,123,491,70,189,261,212,302,254,341,80,327,365,184,335,250,316,77,171,89,135,80,141,166,86,197,154,23,197,256,274,153,370,260,270,277,243,65,90,290,8,127,29,119,14,32,9,93,0,32,5,4,4,128,13,91,6,68,1,274
